year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Italy,Stefania CONSTANTINI,GOLD,https://olympics.com/en/athletes/stefania-constantini
2022,Italy,Amos MOSANER,GOLD,https://olympics.com/en/athletes/amos-mosaner
2022,Norway,Kristin SKASLIEN,SILVER,https://olympics.com/en/athletes/kristin-skaslien
2022,Norway,Magnus NEDREGOTTEN,SILVER,https://olympics.com/en/athletes/magnus-nedregotten
2022,Sweden,Almida DE VAL,BRONZE,https://olympics.com/en/athletes/almida-de-val
2022,Sweden,Oskar ERIKSSON,BRONZE,https://olympics.com/en/athletes/oskar-eriksson
2022,Japan,Ikuma HORISHIMA,BRONZE,https://olympics.com/en/athletes/ikuma-horishima
2022,Canada,Mikael KINGSBURY,SILVER,https://olympics.com/en/athletes/mikael-kingsbury
2022,Sweden,Walter WALLBERG,GOLD,https://olympics.com/en/athletes/wallberg
2022,New Zealand,Nico PORTEOUS,GOLD,https://olympics.com/en/athletes/nico-porteous
2022,United States of America,David WISE,SILVER,https://olympics.com/en/athletes/david-wise
2022,United States of America,Alex FERREIRA,BRONZE,https://olympics.com/en/athletes/alex-ferreira
2022,Norway,Birk RUUD,GOLD,https://olympics.com/en/athletes/birk-ruud
2022,Sweden,Henrik HARLAUT,BRONZE,https://olympics.com/en/athletes/henrik-harlaut
2022,United States of America,Colby STEVENSON,SILVER,https://olympics.com/en/athletes/colby-stevenson
2022,ROC,Sergey RIDZIK,BRONZE,https://olympics.com/en/athletes/sergey-ridzik-1
2022,Switzerland,Alex FIVA,SILVER,https://olympics.com/en/athletes/alex-fiva
2022,Switzerland,Ryan REGEZ,GOLD,https://olympics.com/en/athletes/ryan-regez
2022,People's Republic of China,Ailing Eileen GU,GOLD,https://olympics.com/en/athletes/gu-ailing-eileen
2022,France,Tess LEDEUX,SILVER,https://olympics.com/en/athletes/tess-ledeux
2022,Switzerland,Mathilde GREMAUD,BRONZE,https://olympics.com/en/athletes/mathilde-gremaud
