country_name,country_3_letter_code,slug_game,year,medal_type,count_medals
Afghanistan,AFG,beijing-2008,2008,BRONZE,1
Afghanistan,AFG,london-2012,2012,BRONZE,1
Algeria,ALG,los-angeles-1984,1984,BRONZE,2
Algeria,ALG,barcelona-1992,1992,BRONZE,1
Algeria,ALG,barcelona-1992,1992,GOLD,1
Algeria,ALG,atlanta-1996,1996,BRONZE,1
Algeria,ALG,atlanta-1996,1996,GOLD,2
Algeria,ALG,sydney-2000,2000,BRONZE,3
Algeria,ALG,sydney-2000,2000,GOLD,1
Algeria,ALG,sydney-2000,2000,SILVER,1
Algeria,ALG,beijing-2008,2008,BRONZE,1
Algeria,ALG,beijing-2008,2008,SILVER,1
Algeria,ALG,london-2012,2012,GOLD,1
Algeria,ALG,rio-2016,2016,SILVER,2
Argentina,ARG,paris-1924,1924,BRONZE,2
Argentina,ARG,paris-1924,1924,GOLD,1
Argentina,ARG,paris-1924,1924,SILVER,3
Argentina,ARG,amsterdam-1928,1928,BRONZE,1
Argentina,ARG,amsterdam-1928,1928,GOLD,3
Argentina,ARG,amsterdam-1928,1928,SILVER,3
Argentina,ARG,los-angeles-1932,1932,GOLD,3
Argentina,ARG,los-angeles-1932,1932,SILVER,1
Argentina,ARG,berlin-1936,1936,BRONZE,3
Argentina,ARG,berlin-1936,1936,GOLD,2
Argentina,ARG,berlin-1936,1936,SILVER,2
Argentina,ARG,london-1948,1948,BRONZE,1
Argentina,ARG,london-1948,1948,GOLD,3
Argentina,ARG,london-1948,1948,SILVER,3
Argentina,ARG,helsinki-1952,1952,BRONZE,2
Argentina,ARG,helsinki-1952,1952,GOLD,1
Argentina,ARG,helsinki-1952,1952,SILVER,2
Argentina,ARG,melbourne-1956,1956,BRONZE,1
Argentina,ARG,melbourne-1956,1956,SILVER,1
Argentina,ARG,rome-1960,1960,BRONZE,1
Argentina,ARG,rome-1960,1960,SILVER,1
Argentina,ARG,tokyo-1964,1964,SILVER,1
Argentina,ARG,mexico-city-1968,1968,BRONZE,2
Argentina,ARG,munich-1972,1972,SILVER,1
Argentina,ARG,seoul-1988,1988,BRONZE,1
Argentina,ARG,seoul-1988,1988,SILVER,1
Argentina,ARG,barcelona-1992,1992,BRONZE,1
Argentina,ARG,atlanta-1996,1996,BRONZE,1
Argentina,ARG,atlanta-1996,1996,SILVER,2
Argentina,ARG,sydney-2000,2000,BRONZE,2
Argentina,ARG,sydney-2000,2000,SILVER,2
Argentina,ARG,athens-2004,2004,BRONZE,4
Argentina,ARG,athens-2004,2004,GOLD,2
Argentina,ARG,beijing-2008,2008,BRONZE,4
Argentina,ARG,beijing-2008,2008,GOLD,2
Argentina,ARG,london-2012,2012,BRONZE,2
Argentina,ARG,london-2012,2012,GOLD,1
Argentina,ARG,london-2012,2012,SILVER,1
Argentina,ARG,rio-2016,2016,GOLD,3
Argentina,ARG,rio-2016,2016,SILVER,1
Argentina,ARG,tokyo-2020,2020,BRONZE,2
Argentina,ARG,tokyo-2020,2020,SILVER,1
Armenia,ARM,atlanta-1996,1996,GOLD,1
Armenia,ARM,atlanta-1996,1996,SILVER,1
